id	cufflinks_ath_buds_rep1
AT1G10520	1.97119
AT1G10522	25.0385
AT1G10530	2.23413
AT1G10538	0
AT1G10540	15.7693
AT1G10550	3.5015
AT1G10560	2.84381
AT1G10570	19.9199
AT1G10580	34.1845
AT1G10585	1.0587
AT1G10586	0.130815
AT1G10588	0.52919
AT1G10590	150.377
AT1G10600	26.4647
AT1G10610	8.04542
AT1G10620	1.54212
AT1G10630	71.2334
AT1G10640	39.5978
AT1G10650	16.8793
AT1G10652	0
AT1G10657	33.3093
AT1G10660	31.0018
AT1G10670	165.766
AT1G10680	0.148633
AT1G10682	152.299
AT1G10690	9.10129
AT1G10700	14.2725
AT1G10705	0
AT1G10710	0.907478
AT1G10717	0
AT1G10720	18.4734
AT1G10730	7.08849
AT1G10740	21.8474
AT1G10745	8.68969
AT1G10747	4.44514
AT1G10750	3.22346
AT1G10760	74.4786
AT1G10770	99.4878
AT1G10780	12.3053
AT1G10790	0.639958
AT1G10800	0.957504
AT1G10810	0.422186
AT1G10820	18.7917
AT1G10830	17.0071
AT1G10840	79.4274
AT1G10850	26.0617
AT1G10865	39.4979
AT1G10870	14.4591
AT1G10880	0
AT1G10890	35.1659
AT1G10900	5.6619
AT1G10910	22.6122
AT1G10920	3.9195
AT1G10930	7.80346
AT1G10940	50.0247
AT1G10950	101.265
AT1G10960	124.405
AT1G10970	8.19191
AT1G10980	5.87052
AT1G10990	0.88463
AT1G11000	11.9871
AT1G11010	0
AT1G11020	24.1629
AT1G11030	0
AT1G11040	0.994862
AT1G11050	12.3317
AT1G11055	19.5714
AT1G11060	10.9082
AT1G11070	1.19778
AT1G11080	24.5422
AT1G11090	10.1489
AT1G11100	2.04745
AT1G11110	0.405216
AT1G11112	2.76556
AT1G11120	31.0377
AT1G11125	7.02004
AT1G11130	19.8
AT1G11145	0
AT1G11150	0.0645199
AT1G11160	1.61795
AT1G11170	4.79065
AT1G11175	30.5326
AT1G11180	10.6502
AT1G11185	4.79713
AT1G11190	25.5936
AT1G11200	22.0856
AT1G11210	16.7512
AT1G11220	8.63255
AT1G11230	0
AT1G11240	48.9415
AT1G11250	5.32134
AT1G11260	208.672
AT1G11265	0
AT1G11270	5.56397
AT1G11280	18.6968
AT1G11290	4.11509
AT1G11300	1.26689
AT1G11310	46.3796
AT1G11320	5.10364
AT1G11330	16.6986
AT1G11340	0.0590554
AT1G11350	7.6981
AT1G11360	41.4063
AT1G11362	4.42379
AT1G11370	0.667384
AT1G11380	14.4646
AT1G11390	9.83702
AT1G11400	36.0052
AT1G11410	13.4838
AT1G11420	2.61301
